description,number,class
"Ammonium picrate, dry or wetted with less than 10 percent water, by mass",0004,1
"Cartridges for weapons, with bursting charge",0005,1
"Cartridges for weapons, with bursting charge",0006,1
"Cartridges for weapons, with bursting charge",0007,1
"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",0009,1
"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",0010,1
"Cartridges for weapons, inert projectile or Cartridges, small arms",0012,1
"Cartridges for weapons, blank or Cartridges, small arms, blank",0014,1
"Ammunition, smoke, with or without burster, expelling charge, or propelling charge",0015,1
"Ammunition, smoke, with or without burster, expelling charge, or propelling charge",0016,1
"Ammunition, tear-producing with burster, expelling charge, or propelling charge",0018,1
"Ammunition, tear-producing with burster, expelling charge, or propelling charge",0019,1
"Ammunition, toxic with burster, expelling charge, or propelling charge",0020,1
"Ammunition, toxic with burster, expelling charge, or propelling charge",0021,1
"Black powder or Gunpowder, granular or as a meal",0027,1
"Black powder, compressed or Gunpowder, compressed or Black powder, in pellets or Gunpowder, in pellets",0028,1
"Detonators, electric, non-electric, for blasting",0029,1
"Detonators, electric, non-electric, for blasting",0030,1
"Bombs, with bursting charge",0033,1
"Bombs, with bursting charge",0034,1
"Bombs, with bursting charge",0035,1
"Bombs, photo-flash",0037,1
"Bombs, photo-flash",0038,1
"Bombs, photo-flash",0039,1
"Boosters, without detonator",0042,1
"Bursters, explosive",0043,1
"Primers, cap type",0044,1
"Charges, demolition",0048,1
"Cartridges, flash",0049,1
"Cartridges, flash",0050,1
"Cartridges, signal",0054,1
"Cases, cartridge, empty with primer",0055,1
"Charges, depth",0056,1
"Charges, shaped, without detonator",0059,1
"Charges, supplementary explosive",0060,1
"Cord, detonating, flexible",0065,1
"Cord, igniter",0066,1
"Cutters, cable, explosive",0070,1
"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not less than 15 percent water by mass",0072,1
Detonators for ammunition,0073,1
"Diazodinitrophenol, wetted with not less than 40 percent water or mixture of alcohol and water, by mass",0074,1
"Diethyleneglycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass",0075,1
"Dinitrophenol, dry or wetted with less than 15 percent water, by mass",0076,1
"Dinitrophenolates alkali metals, dry or wetted with less than 15 percent water, by mass",0077,1
"Dinitroresorcinol, dry or wetted with less than 15 percent water, by mass",0078,1
Hexanitrodiphenylamine or Dipicrylamine or Hexyl,0079,1
"Explosive, blasting, type A",0081,1
"Explosive, blasting, type B",0082,1
"Explosive, blasting, type C",0083,1
"Explosive, blasting, type D",0084,1
"Flares, surface",0092,1
"Flares, aerial",0093,1
"Blitzlichtpulver (Flash powder, e.g. for a old fashioned camera flash)",0094,1
"Fracturing devices, explosives, without detonators for oil wells",0099,1
"Fuse, non-detonating (instantaneous or quickmatch)",0101,1
Cord detonating or Fuse detonating metal clad,0102,1
"Fuse, igniter tubular metal clad",0103,1
"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad",0104,1
"Fuse, safety",0105,1
"Fuzes, detonating",0106,1
"Fuzes, detonating",0107,1
"Grenades, practice, hand or rifle",0110,1
"Guanyl nitrosaminoguanylidene hydrazine, wetted with not less than 30 percent water, by mass",0113,1
"Guanyl nitrosaminoguanyltetrazene, wetted or Tetrazene, wetted with not less than 30 percent water or mixture of alcohol and water, by mass",0114,1
"Hexolite, or Hexotol dry or wetted with less than 15 percent water, by mass",0118,1
Igniters,0121,1
"Jet, perforating guns, charged oil well, with/without detonator",0124,1
"Lead azide, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",0129,1
"Lead styphnate, wetted or Lead trinitroresorcinate, wetted with not less than 20",0130,1
"Lighters, fuse",0131,1
"Deflagrating metal salts of aromatic nitroderivatives, n.o.s.",0132,1
"Mannitol hexanitrate, wetted or Nitromannite, wetted with not less than 40 percent water, or mixture of alcohol and water, by mass",0133,1
"Mercury fulminate, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",0135,1
Mines with bursting charge,0136,1
Mines with bursting charge,0137,1
Mines with bursting charge,0138,1
"Nitroglycerin, desensitized with not less than 40 percent non-volatile water insoluble phlegmatizer, by mass",0143,1
"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 10 percent nitroglycerin",0144,1
"Nitrostarch, dry or wetted with less than 20 percent water, by mass",0146,1
Nitro urea,0147,1
"Pentaerythrite tetranitrate, wetted or Pentaerythritol tetranitrate, wetted or PETN, wetted with not less than 25 percent water, by mass, or Pentaerythrite tetranitrate, or Pentaerythritol tetranitrate, or PETN, desensitized with not less than 15 percent",0150,1
"Pentolite, dry or wetted with less than 15 percent water, by mass",0151,1
Trinitroaniline or Picramide,0153,1
"Trinitrophenol or Picric acid, dry or wetted with less than 30 percent water, by mass",0154,1
Trinitrochlorobenzene or Picryl chloride,0155,1
"Powder cake, wetted or Powder paste, wetted with not less than 25 percent water, by mass",0159,1
"Powder, smokeless",0160,1
"Powder, smokeless",0161,1
"Projectiles, with bursting charge",0167,1
"Projectiles, with bursting charge",0168,1
"Projectiles, with bursting charge",0169,1
"Ammunition, illuminating with or without burster, expelling charge, or propelling charge",0171,1
"Release devices, explosive",0173,1
"Rivets, explosive",0174,1
"Rockets, with bursting charge",0180,1
"Rockets, with bursting charge",0181,1
"Rockets, with bursting charge",0182,1
"Rockets, with inert head",0183,1
Rocket motors,0186,1
"Samples, explosive, other than initiating explosives",0190,1
"Signal devices, hand",0191,1
"Signals, railway track, explosive",0192,1
"Signals, railway track, explosive",0193,1
"Signals, distress, ship",0194,1
"Signals, distress, ship",0195,1
"Signals, smoke",0196,1
"Signals, smoke",0197,1
"Sounding devices, explosive",0204,1
Tetranitroaniline,0207,1
Trinitrophenylmethylnitramine or Tetryl,0208,1
"Trinitrotoluene or TNT, dry or wetted with less than 30 percent water, by mass",0209,1
Tracers for ammunition,0212,1
Trinitroanisole,0213,1
"Trinitrobenzen, angefeuchtet mit mindestens 10 Masse-% Wasser",0214,4.1
"Trinitrobenzoic acid, dry or wetted with less than 30 percent water, by mass",0215,1
Trinitro-meta-cresol,0216,1
